@relation page

@attribute class {none,title,pages,authors,veditor,vtitle}
@attribute fontsize numeric
@attribute weight numeric
@attribute style numeric
@attribute replaced numeric
@attribute nlines numeric
@attribute depth numeric
@attribute tlength numeric
@attribute pdigits numeric
@attribute plower numeric
@attribute pupper numeric
@attribute pspaces numeric
@attribute ppunct numeric
@attribute relx numeric
@attribute rely numeric

@data
pages,0.807275,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.426824
pages,0.807275,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.449882
none,0.99357,0,0.408163,0,2,1,98,0,0.77551,0.091837,0.091837,0.010204,0.091954,0.420752
title,0.99357,0,0,0,1,0,58,0,0.827586,0.051724,0.086207,0,0.091954,0.416588
authors,0.99357,0,1,0,1,0,40,0,0.7,0.15,0.1,0.025,0.081448,0.426484
none,0.99357,0,0.360825,0,2,1,97,0,0.783505,0.061856,0.123711,0.020619,0.094241,0.444074
title,0.99357,0,0,0,1,0,62,0,0.83871,0.016129,0.129032,0,0.094241,0.43968
authors,0.99357,0,1,0,1,0,35,0,0.685714,0.142857,0.114286,0.057143,0.077005,0.449576
none,1.179864,1,0,0,1,0,11,0,0.545455,0.363636,0.090909,0,0.02974,0.467422
none,0.99357,0,0.836957,0,4,2,368,0.01087,0.706522,0.119565,0.11413,0.046196,0.302521,0.500729
title,0.99357,0,0,0,1,0,60,0.066667,0.733333,0.083333,0.116667,0,0.09172,0.485862
none,0.99357,0,1,0,3,1,308,0,0.701299,0.126623,0.113636,0.055195,0.302521,0.505769
authors,0.99357,0,1,0,1,0,129,0,0.682171,0.131783,0.116279,0.062016,0.271698,0.495759
authors,0.99357,0,1,0,1,0,127,0,0.716535,0.11811,0.110236,0.055118,0.302521,0.505655
authors,0.99357,0,1,0,1,0,52,0,0.711538,0.134615,0.115385,0.038462,0.091371,0.515551
none,0.807275,0,0,0,2,1,13,0.846154,0,0,0,0,0.99651,0.518191
pages,0.807275,0,0,0,1,0,6,0.833333,0,0,0,0,0.996531,0.496
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.538824
none,0.99357,0,0.758824,0,2,1,170,0.023529,0.652941,0.147059,0.123529,0.052941,0.286853,0.534031
title,0.99357,0,0,0,1,0,41,0.097561,0.634146,0.170732,0.097561,0,0.081356,0.528746
authors,0.99357,0,1,0,1,0,129,0,0.658915,0.139535,0.131783,0.069767,0.286853,0.538643
none,0.99357,0,0.522388,0,2,1,67,0.059701,0.552239,0.223881,0.134328,0.014925,0.079295,0.557354
title,0.99357,0,0,0,1,0,32,0.125,0.3125,0.34375,0.1875,0,0.075393,0.551838
authors,0.99357,0,1,0,1,0,35,0,0.771429,0.114286,0.085714,0.028571,0.079295,0.561734
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.561882
none,0.99357,0,0.393258,0,2,1,89,0.044944,0.640449,0.168539,0.123596,0.011236,0.089109,0.580676
title,0.99357,0,0,0,1,0,54,0.074074,0.555556,0.203704,0.148148,0,0.089109,0.574929
authors,0.99357,0,1,0,1,0,35,0,0.771429,0.114286,0.085714,0.028571,0.079295,0.584826
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.584941
none,0.99357,0,0.807692,0,3,2,182,0.021978,0.653846,0.148352,0.120879,0.043956,0.298755,0.610096
title,0.99357,0,0,0,1,0,35,0.114286,0.571429,0.171429,0.142857,0,0.076759,0.598021
none,0.99357,0,1,0,2,1,147,0,0.673469,0.142857,0.115646,0.054422,0.298755,0.613993
authors,0.99357,0,1,0,1,0,124,0,0.653226,0.145161,0.129032,0.064516,0.298755,0.607917
authors,0.99357,0,1,0,1,0,23,0,0.782609,0.130435,0.043478,0,0.0715,0.617813
none,0.807275,0,0,0,2,1,14,0.857143,0,0,0,0,0.99651,0.62871
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.608
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.640941
none,0.99357,0,0.325843,0,2,1,89,0.044944,0.662921,0.134831,0.134831,0.022472,0.096515,0.637316
title,0.99357,0,0,0,1,0,60,0.066667,0.683333,0.116667,0.133333,0,0.096515,0.631008
authors,0.99357,0,1,0,1,0,29,0,0.62069,0.172414,0.137931,0.068966,0.07415,0.640905
none,0.99357,0,0.47561,0,2,1,164,0.02439,0.652439,0.128049,0.140244,0.04878,0.124783,0.660638
title,0.99357,0,0,0,1,0,86,0.046512,0.72093,0.081395,0.116279,0.023256,0.124783,0.6541
authors,0.99357,0,1,0,1,0,78,0,0.576923,0.179487,0.166667,0.076923,0.118812,0.663996
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.664
none,0.99357,0,0.508197,0,2,1,61,0.065574,0.47541,0.262295,0.147541,0.032787,0.075157,0.68396
title,0.99357,0,0,0,1,0,30,0.133333,0.366667,0.333333,0.133333,0,0.074534,0.677191
authors,0.99357,0,1,0,1,0,31,0,0.580645,0.193548,0.16129,0.064516,0.075157,0.687088
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.687059
none,0.99357,0,0.590909,0,2,1,88,0.045455,0.659091,0.159091,0.113636,0.022727,0.089664,0.707282
title,0.99357,0,0,0,1,0,36,0.111111,0.527778,0.222222,0.138889,0,0.078431,0.700283
authors,0.99357,0,1,0,1,0,52,0,0.75,0.115385,0.096154,0.038462,0.089664,0.710179
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.710118
none,0.99357,0,0.591549,0,2,1,71,0.056338,0.591549,0.169014,0.126761,0.028169,0.08343,0.730604
title,0.99357,0,0,0,1,0,29,0.137931,0.413793,0.206897,0.137931,0.034483,0.07377,0.723374
authors,0.99357,0,1,0,1,0,42,0,0.714286,0.142857,0.119048,0.02381,0.08343,0.73327
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.733176
none,1.179864,1,0,0,1,0,7,0,0.857143,0.142857,0,0,0.028571,0.751653
none,0.99357,0,0.248227,0,2,1,141,0,0.822695,0.056738,0.106383,0.007092,0.163636,0.777249
title,0.99357,0,0,0,1,0,106,0,0.849057,0.037736,0.103774,0,0.163636,0.769557
authors,0.99357,0,1,0,1,0,35,0,0.742857,0.114286,0.114286,0.028571,0.078176,0.779453
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.779294
none,0.99357,0,0.494898,0,2,1,196,0,0.760204,0.086735,0.117347,0.030612,0.154506,0.800571
title,0.99357,0,0,0,1,0,99,0,0.838384,0.040404,0.111111,0,0.14876,0.792648
authors,0.99357,0,1,0,1,0,97,0,0.680412,0.134021,0.123711,0.061856,0.154506,0.802545
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.802353
none,0.99357,0,0.486239,0,2,1,109,0,0.761468,0.082569,0.119266,0.027523,0.091837,0.823893
title,0.99357,0,0,0,1,0,56,0,0.857143,0.017857,0.107143,0,0.090113,0.81574
authors,0.99357,0,1,0,1,0,53,0,0.660377,0.150943,0.132075,0.056604,0.091837,0.825636
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.825412
none,0.99357,0,0.328244,0,2,1,131,0,0.80916,0.061069,0.10687,0.007634,0.123711,0.847216
title,0.99357,0,0,0,1,0,88,0,0.829545,0.034091,0.125,0,0.123711,0.838831
authors,0.99357,0,1,0,1,0,43,0,0.767442,0.116279,0.069767,0.023256,0.082949,0.848728
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.848471
none,0.99357,0,0.298246,0,2,1,171,0,0.807018,0.064327,0.116959,0.011696,0.211144,0.870538
title,0.99357,0,0,0,1,0,120,0,0.833333,0.041667,0.125,0,0.211144,0.861923
authors,0.99357,0,1,0,1,0,51,0,0.745098,0.117647,0.098039,0.039216,0.092426,0.871819
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.871529
none,0.99357,0,0.436508,0,2,1,126,0,0.809524,0.063492,0.087302,0.02381,0.105727,0.89386
title,0.99357,0,0,0,1,0,71,0,0.873239,0.014085,0.084507,0.014085,0.105727,0.885014
authors,0.99357,0,1,0,1,0,55,0,0.727273,0.127273,0.090909,0.036364,0.090226,0.89491
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.894588
none,0.99357,0,0.375,0,2,1,120,0,0.8,0.058333,0.116667,0.016667,0.108434,0.917182
title,0.99357,0,0,0,1,0,75,0,0.853333,0.013333,0.12,0,0.108434,0.908106
authors,0.99357,0,1,0,1,0,45,0,0.711111,0.133333,0.111111,0.044444,0.084806,0.918002
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.917647
none,0.99357,0,0.318681,0,2,1,91,0,0.791209,0.054945,0.120879,0.032967,0.09375,0.940505
title,0.99357,0,0,0,1,0,62,0,0.822581,0.016129,0.129032,0.032258,0.09375,0.931197
authors,0.99357,0,1,0,1,0,29,0,0.724138,0.137931,0.103448,0.034483,0.074611,0.941093
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.940706
none,0.99357,0,0.453846,0,2,1,130,0,0.8,0.069231,0.107692,0.023077,0.106509,0.963827
title,0.99357,0,0,0,1,0,71,0,0.816901,0.042254,0.126761,0.014085,0.106509,0.954288
authors,0.99357,0,1,0,1,0,59,0,0.779661,0.101695,0.084746,0.033898,0.095491,0.964185
pages,0.807275,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.963765
none,1.179864,1,0,0,1,0,36,0,0.75,0.111111,0.138889,0,0.037915,0.983003
none,0,0,0,0,1,0,0,0,0,0,0,0,1,0.992052
none,0.807275,0,0,0,1,1,110,0.081818,0.7,0.054545,0.118182,0.027273,0.060491,1
none,0.807275,0,0,0,1,0,90,0.088889,0.711111,0.022222,0.122222,0.033333,0.047976,1
none,0.807275,0,0,0,1,0,20,0.05,0.65,0.2,0.1,0,0.528463,1
none,1,0.085179,0.268825,0,53,3,2947,0.048185,0.704106,0.099084,0.109942,0.020699,?,?
none,1.198448,1,0,0,1,1,20,0.2,0.25,0.35,0,0.05,0.940877,0.006148
none,1.198448,1,0,0,1,0,12,0,0.25,0.5,0,0.083333,0.869934,0.006148
none,1.198448,1,0,0,1,0,8,0.5,0.25,0.125,0,0,0.947842,0.006148
none,1.00922,1,0,0,1,0,22,0.409091,0.363636,0,0,0.136364,0.94246,0.023842
none,0.693839,0,0,0,2,1,182,0.021978,0.78022,0.016484,0.153846,0.016484,0.817829,0.046607
none,0.693839,0,0,0,1,0,141,0.028369,0.758865,0.021277,0.163121,0.014184,0.817829,0.046133
none,0.693839,0,0,0,1,0,41,0,0.853659,0,0.121951,0.02439,0.42327,0.056309
none,0,0,0,0,1,0,0,0,0,0,0,0,1,0.073401
none,2.018439,1,0,0,1,0,11,0.363636,0.272727,0.272727,0,0,0.032487,0.092414
vtitle,2.018439,1,0,0,1,0,41,0.04878,0.804878,0.073171,0.073171,0,0.059259,0.12069
none,1.198448,1,0,0,1,0,60,0.033333,0.8,0.066667,0.1,0,0.051696,0.175546
none,1.198448,1,0,0,1,0,37,0.216216,0.432432,0.081081,0.135135,0.108108,0.037123,0.203552
none,1.00922,1,0,0,1,0,9,0,0.777778,0.111111,0.111111,0,0.028571,0.230926
none,1.198448,1,0,0,2,2,37,0,0.675676,0.108108,0.135135,0,0.031589,0.273992
none,1.198448,1,0,0,1,1,18,0,0.722222,0.111111,0.111111,0,0.031589,0.269126
veditor,1.198448,1,0,0,1,0,16,0,0.8125,0.125,0.0625,0,0.03122,0.269126
none,1.198448,1,0,0,1,0,2,0,0,0,0.5,0,0.168644,0.269126
veditor,1.198448,1,0,0,1,0,19,0,0.631579,0.105263,0.157895,0,0.031373,0.286885
none,1.00922,0,0,0,2,1,137,0.080292,0.591241,0.109489,0.145985,0.036496,0.058608,0.31859
none,1.00922,0,0,0,1,0,2,0,0,0,0.5,0,0.027073,0.314033
none,1.00922,0,0,0,1,0,32,0,0.71875,0.125,0.125,0,0.04321,0.314033
none,1.00922,0,0,0,1,0,59,0.084746,0.610169,0.101695,0.152542,0.050847,0.337629,0.314033
none,1.00922,0,0,0,1,0,3,0,0,0,0.333333,0,0.027211,0.328338
none,1.00922,0,0,0,1,0,10,0,0.6,0.3,0.1,0,0.043518,0.328338
none,1.00922,0,0,0,1,0,31,0.193548,0.516129,0.064516,0.129032,0.064516,0.143305,0.328338
none,0.819991,0,0,0,2,1,193,0.098446,0.61658,0.093264,0.108808,0.041451,0.235294,0.34618
none,0.819991,0,0,0,1,0,175,0.034286,0.68,0.102857,0.12,0.04,0.235294,0.341944
none,0.819991,0,0,0,1,0,18,0.722222,0,0,0,0.055556,0.029602,0.354181
none,0,0,0,0,1,0,0,0,0,0,0,0,1,0.36229
none,1.00922,0,0,0,1,1,73,0,0.780822,0.054795,0.136986,0,0.108271,0.368529
none,1.00922,0,0,0,1,0,45,0,0.755556,0.088889,0.133333,0,0.083237,0.368529
none,1.00922,0,0,0,1,0,28,0,0.821429,0,0.142857,0,0.402218,0.368529
none,1.00922,0,0,0,1,1,59,0,0.847458,0.016949,0.118644,0,0.092308,0.387602
none,1.00922,0,0,0,1,0,33,0,0.878788,0.030303,0.090909,0,0.074534,0.387602
none,1.00922,0,0,0,1,0,26,0,0.807692,0,0.153846,0,0.296223,0.387602
none,1.513829,1,0,0,1,0,17,0,0.764706,0.117647,0.117647,0,0.032389,0.416724
none,1.00922,0,0,0,1,1,8,0,0.875,0.125,0,0,0.064,0.447548
none,1.00922,0,0,0,1,0,8,0,0.875,0.125,0,0,0.064,0.447548
none,1.00922,0,0.101351,0,2,1,148,0,0.77027,0.108108,0.108108,0,0.293878,0.473393
title,1.00922,0,0,0,1,0,133,0,0.766917,0.105263,0.112782,0,0.293878,0.466621
authors,1.00922,0,1,0,1,0,15,0,0.8,0.133333,0.066667,0,0.06729,0.480926
pages,0.819991,0,0,0,1,0,4,0.75,0,0,0,0,0.996572,0.481305
none,1.00922,0,0.53211,0,2,1,109,0,0.752294,0.119266,0.110092,0.018349,0.095238,0.507256
title,1.00922,0,0,0,1,0,51,0,0.803922,0.098039,0.098039,0,0.089219,0.5
authors,1.00922,0,1,0,1,0,58,0,0.706897,0.137931,0.12069,0.034483,0.095238,0.514305
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.514616
none,1.00922,0,0.5,0,2,1,100,0,0.75,0.13,0.1,0.02,0.088235,0.54112
title,1.00922,0,0,0,1,0,50,0,0.76,0.14,0.1,0,0.086747,0.533379
authors,1.00922,0,1,0,1,0,50,0,0.74,0.12,0.1,0.04,0.088235,0.547684
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.547927
none,1.00922,0,0.404908,0,2,1,163,0,0.748466,0.110429,0.122699,0.018405,0.142292,0.574983
title,1.00922,0,0,0,1,0,97,0,0.762887,0.103093,0.134021,0,0.142292,0.566757
authors,1.00922,0,1,0,1,0,66,0,0.727273,0.121212,0.106061,0.045455,0.101408,0.581063
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.581237
none,1.00922,0,0.342466,0,2,1,73,0,0.69863,0.191781,0.09589,0.013699,0.086643,0.608846
title,1.00922,0,0,0,1,0,48,0,0.708333,0.208333,0.083333,0,0.086643,0.600136
authors,1.00922,0,1,0,1,0,25,0,0.68,0.16,0.12,0.04,0.072217,0.614441
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.614548
none,1.00922,0,0.49359,0,2,1,156,0,0.737179,0.115385,0.115385,0.032051,0.11784,0.642709
title,1.00922,0,0,0,1,0,79,0,0.772152,0.101266,0.113924,0.012658,0.11784,0.633515
authors,1.00922,0,1,0,1,0,77,0,0.701299,0.12987,0.116883,0.051948,0.110092,0.64782
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.647859
none,1.00922,0,0.638037,0,2,1,163,0,0.766871,0.104294,0.09816,0.030675,0.156182,0.676572
title,1.00922,0,0,0,1,0,59,0,0.830508,0.084746,0.084746,0,0.097826,0.666894
authors,1.00922,0,1,0,1,0,104,0,0.730769,0.115385,0.105769,0.048077,0.156182,0.681199
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.993103,0.681169
none,1.00922,0,0.552,0,2,1,125,0,0.752,0.12,0.096,0.024,0.106352,0.710435
title,1.00922,0,0,0,1,0,56,0,0.767857,0.125,0.089286,0,0.091139,0.700272
authors,1.00922,0,1,0,1,0,69,0,0.73913,0.115942,0.101449,0.043478,0.106352,0.714578
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.71448
none,1.00922,0,0.416667,0,2,1,108,0,0.768519,0.111111,0.101852,0.018519,0.100418,0.744299
title,1.00922,0,0,0,1,0,63,0,0.809524,0.095238,0.095238,0,0.100418,0.733651
authors,1.00922,0,1,0,1,0,45,0,0.711111,0.133333,0.111111,0.044444,0.085409,0.747956
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.993103,0.747791
none,1.00922,0,0.271605,0,2,1,162,0,0.753086,0.104938,0.12963,0.012346,0.205128,0.778162
title,1.00922,0,0,0,1,0,118,0,0.771186,0.09322,0.135593,0,0.205128,0.76703
authors,1.00922,0,1,0,1,0,44,0,0.704545,0.136364,0.113636,0.045455,0.081264,0.781335
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.781101
none,1.00922,0,0.34375,0,2,1,96,0,0.78125,0.104167,0.104167,0.010417,0.095491,0.812025
title,1.00922,0,0,0,1,0,63,0,0.825397,0.079365,0.095238,0,0.095491,0.800409
authors,1.00922,0,1,0,1,0,33,0,0.69697,0.151515,0.121212,0.030303,0.076352,0.814714
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.993103,0.814412
none,1.00922,0,0.464,0,2,1,125,0,0.752,0.112,0.112,0.024,0.105263,0.845888
title,1.00922,0,0,0,1,0,67,0,0.791045,0.089552,0.104478,0.014925,0.105263,0.833787
authors,1.00922,0,1,0,1,0,58,0,0.706897,0.137931,0.12069,0.034483,0.095238,0.848093
pages,0.819991,0,0,0,1,0,5,0.8,0,0,0,0,0.993103,0.847723
none,1.00922,0,0.144737,0,2,1,76,0,0.789474,0.092105,0.105263,0,0.098901,0.879751
title,1.00922,0,0,0,1,0,65,0,0.8,0.076923,0.107692,0,0.098901,0.867166
authors,1.00922,0,1,0,1,0,11,0,0.727273,0.181818,0.090909,0,0.064806,0.881471
pages,0.819991,0,0,0,1,0,6,0.833333,0,0,0,0,0.993062,0.881033
none,1.00922,0,0.266667,0,2,1,90,0.011111,0.711111,0.111111,0.122222,0.011111,0.100699,0.913614
title,1.00922,0,0,0,1,0,66,0.015152,0.727273,0.090909,0.121212,0,0.100699,0.900545
authors,1.00922,0,1,0,1,0,24,0,0.666667,0.166667,0.125,0.041667,0.070727,0.91485
pages,0.819991,0,0,0,1,0,7,0.857143,0,0,0,0,0.993019,0.914344
none,1.00922,0,0.365385,0,2,1,104,0,0.730769,0.125,0.125,0.019231,0.101266,0.947478
title,1.00922,0,0,0,1,0,66,0,0.772727,0.106061,0.121212,0,0.101266,0.933924
authors,1.00922,0,1,0,1,0,38,0,0.657895,0.157895,0.131579,0.052632,0.079734,0.948229
pages,0.819991,0,0,0,1,0,7,0.857143,0,0,0,0,0.993019,0.947655
none,1.00922,0,0.615385,0,2,1,117,0,0.735043,0.119658,0.111111,0.034188,0.107463,0.981341
title,1.00922,0,0,0,1,0,45,0,0.777778,0.111111,0.111111,0,0.084309,0.967302
authors,1.00922,0,1,0,1,0,72,0,0.708333,0.125,0.111111,0.055556,0.107463,0.981608
pages,0.819991,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.980965
none,0,0,0,0,1,0,0,0,0,0,0,0,1,0.988552
none,0.819991,0,0,0,1,0,40,0.2,0.575,0.05,0.1,0.025,0.033827,1
none,1,0.293044,0.194983,0,40,3,1775,0.03662,0.664789,0.109859,0.125634,0.022535,?,?
none,1.126183,1,0,0,1,1,20,0.2,0.25,0.35,0,0.05,0.940877,0.007792
none,1.126183,1,0,0,1,0,12,0,0.25,0.5,0,0.083333,0.869934,0.007792
none,1.126183,1,0,0,1,0,8,0.5,0.25,0.125,0,0,0.947842,0.007792
none,0.948364,1,0,0,1,0,22,0.409091,0.363636,0,0,0.136364,0.94246,0.030198
none,0.652001,0,0,0,2,1,182,0.021978,0.78022,0.016484,0.153846,0.016484,0.817829,0.05913
none,0.652001,0,0,0,1,0,141,0.028369,0.758865,0.021277,0.163121,0.014184,0.817829,0.058369
none,0.652001,0,0,0,1,0,41,0,0.853659,0,0.121951,0.02439,0.42327,0.071245
none,0,0,0,0,1,0,0,0,0,0,0,0,1,0.092687
none,1.896729,1,0,0,1,0,11,0.363636,0.181818,0.363636,0.090909,0,0.032129,0.117441
vtitle,1.896729,1,0,0,1,0,72,0,0.777778,0.083333,0.125,0.013889,0.542373,0.153374
none,1.126183,1,0,0,3,1,197,0.050761,0.680203,0.106599,0.13198,0.005076,0.415584,0.233001
none,1.126183,1,0,0,1,0,118,0,0.737288,0.101695,0.144068,0.008475,0.415584,0.222511
none,1.126183,1,0,0,1,0,5,0.8,0,0,0,0,0.028021,0.245022
none,1.126183,1,0,0,1,0,64,0.03125,0.734375,0.078125,0.125,0,0.054701,0.267532
none,1.126183,1,0,0,1,0,9,0.444444,0,0.444444,0.111111,0,0.584095,0.267532
none,1.126183,1,0,0,1,0,1,0,0,0,0,0,0.621417,0.267532
none,1.126183,1,0,0,1,0,37,0.162162,0.513514,0.081081,0.135135,0.108108,0.037253,0.30303
none,0.948364,1,0,0,1,0,9,0,0.777778,0.111111,0.111111,0,0.028571,0.33736
none,1.126183,1,0,0,7,1,139,0,0.553957,0.115108,0.143885,0.007194,0.034006,0.446446
veditor,1.126183,1,0,0,1,0,15,0,0.733333,0.133333,0.133333,0,0.03074,0.386147
none,1.126183,1,0,0,1,0,2,0,0,0,0.5,0,0.155085,0.386147
veditor,1.126183,1,0,0,1,0,13,0,0.769231,0.153846,0.076923,0,0.029907,0.408658
none,1.126183,1,0,0,1,0,2,0,0,0,0.5,0,0.130508,0.408658
veditor,1.126183,1,0,0,1,0,14,0,0.785714,0.142857,0.071429,0,0.030622,0.431169
none,1.126183,1,0,0,1,0,3,0,0,0,0.333333,0,0.1526,0.431169
veditor,1.126183,1,0,0,1,0,22,0,0.727273,0.136364,0.136364,0,0.032854,0.45368
none,1.126183,1,0,0,1,0,5,0,0,0,0.2,0,0.215703,0.45368
veditor,1.126183,1,0,0,1,0,18,0,0.722222,0.111111,0.166667,0,0.031311,0.47619
none,1.126183,1,0,0,1,0,6,0,0,0,0.166667,0,0.175347,0.47619
